kind,r,n,row_sum
cycle,6,10,37922732217840209615860957100564890961838043728594079563251862374400
cycle,6,11,37588495774437183100252929021998193158384218013337690029231590488565417728000
cycle,6,12,58727848097483145301479041556074439759108314283113323710630653869538081015486220288000
cycle,6,13,139240062764843542936482963882468348478838506214448814370036659146203967897692079255812775936000
cycle,6,14,485130103499700929367769826677937873638175233715848606300301835223244441589710474348435314866146070528000
cycle,6,15,2416392683455193728216873843365202052071787825807069032676112200005133350907027078599268864926808365913971433472000
cycle,6,16,16800844929139537078235734268472852097042734896569437797772981671987960524715838480420641947920538874592804161743002992640000
cycle,6,17,159692856490655482805483322045230299521587856468149001658207664454706300450650364367089776104006746539380823762609400560513612349440000
cycle,6,18,2037206183433412718351373554644953668401945523911735470541304904464075072488088436961630373844369300026875929384285053024839333422699618631680000
cycle,6,19,34314178491971365893870382623196832877709966181547944218435192856841662297474564771048395445386008335188420064562811085947432302692498179091229662576640000
cycle,6,20,752045747380815781443918126237355712267786420224649989490669482696335319181763352380039360642057935147820590809652949217997700269325752853283142944269598343823360000
cycle,6,21,21165389510269964981475471395889648466659396121753604426483664097757880997716899947042542522617019625731166325871243007300203633994374708973395111968146025679882676548403200000
cycle,6,22,755865128698078379449391002936700511201963543136630080496997743147152282337873351939929390201403860720692664621228870955035761227914652027263676292501713111886241910064193812575027200000
cycle,6,23,33883946689807916934371755244319906563584434917615973347687561190978622056346692559493001283594983628883347745441729202200500930171705941303275326512514847693272428076685135254590084626802278400000
cycle,6,24,1887905785139776866011766424735872964083427536290416047255303086522562164307613206479304902098349081509155988343919910500693397139197614195071921786095516677477760571456364234775936559572073269161571123200000
cycle,6,25,129558673077950093675945130450118255250867873506322845118001842053421204589348641846946576143038164081544613859184932622324069851350317244171081895319163044077280687893768626897312822313978514037295540289592937676800000
cycle,6,26,10860026233249356997145405679056779830991012446842540341416245615533558379144127097125173522797297897863796881102634518212602194220133008694940541820557551784202363955317323708847686640376720948800440182608944806796031164416000000
cycle,6,27,1103393941194307916503765497846538291268871636381061969451103182928762896713439130363143623197927747093674069372334287261528834490551613436749478631552752349356838857146787735321125600512405209373969770905988849651216454313404122791936000000
cycle,6,28,134918203334507634909462825145907436306402749325152895826744505644424902171289337515043297176413361417883914188773487706935896678345368426556136198876708829399935353099587436578519752616425527545019551188757696082953905862979785517006899581550592000000
cycle,6,29,19723175277350461215861756874945635158449724521520647752716544466964642593937598670897994147935735230904306250430681140283402249535296841004278643667817573847577935377008532235627885970451699423807762134092977182852417562962522284023752016083873235275350016000000
cycle,6,30,3425893430683806309303608198204554120264535947105802272325341750400173205939886273814850312782265656576395928691294578127608488574946372825120187962769561153564400418795093868674463265662639193380214312338974446500554007257110488268157170965551173534424694615372201984000000
cycle,7,0,1
cycle,7,1,720
cycle,7,2,889579440
cycle,7,3,24825554047048320
cycle,7,4,5290997279359223738954880
cycle,7,5,5123435200363988451745911099129600
cycle,7,6,16586604907000398318541679932121393835398400
cycle,7,7,146550755846678236245593248410699671438467077627878400
cycle,7,8,3058890290485067840112410046316424511438263673819454130127744000
cycle,7,9,135391541916547158251781904761862200114806396542190640343279613759786035200
cycle,7,10,11685884920993199760434712729055694243632659260184303898442459392476244000897521408000
cycle,7,11,1839424154079366829953605033617357263095093909398313744637260381469535430788281040639028133888000
cycle,7,12,499885488070085181165389361375860585317912461382117849510940395562883533703056541722905592891289601499136000
