x,u_plus,u_minus,up
-0.179375,0.989162251,1.55183158,0.993540328
-0.178125,0.98974417,1.565729,0.993117043
-0.176875,0.992487606,1.57931469,0.986635659
-0.175625,0.996403658,1.59143259,0.976417812
-0.174375,1.00075874,1.6029897,0.967402181
-0.173125,1.00488001,1.61517917,0.964038844
-0.171875,1.00758239,1.62833577,0.967037613
-0.170625,1.00720006,1.6418822,0.973456939
-0.169375,1.00271011,1.65441426,0.979681067
-0.168125,0.995320303,1.66444893,0.983911087
-0.166875,0.988766463,1.67214109,0.986100555
-0.165625,0.987071408,1.67938611,0.986501423
-0.164375,0.991003068,1.6875036,0.985011679
-0.163125,0.996594431,1.69602939,0.981626298
-0.161875,0.998140508,1.7042986,0.976976882
-0.160625,0.993454705,1.71266638,0.972639066
-0.159375,0.985812072,1.72150269,0.970709489
-0.158125,0.980548291,1.73014787,0.972099502
-0.156875,0.980749935,1.73749829,0.975408854
-0.155625,0.986522991,1.74337597,0.978511318
-0.154375,0.996861171,1.74936185,0.980780118
-0.153125,1.01020187,1.75820505,0.982608539
-0.151875,1.02326118,1.77183512,0.983669504
-0.150625,1.0313919,1.78963692,0.9832702
-0.149375,1.03176674,1.80882537,0.982069779
-0.148125,1.02613531,1.82654105,0.981813591
-0.146875,1.01948683,1.84118494,0.983061556
-0.145625,1.01566503,1.85156539,0.984436341
-0.144375,1.01493021,1.8564306,0.984715643
-0.143125,1.01579394,1.85644908,0.984635737
-0.141875,1.01764332,1.85531628,0.985755624
-0.140625,1.02029136,1.85677679,0.988506151
-0.139375,1.0220905,1.86135383,0.992325076
-0.138125,1.02061872,1.86743573,0.997144759
-0.136875,1.01544112,1.87443478,1.00361067
-0.135625,1.00892591,1.8832566,1.01139403
-0.134375,1.00411463,1.89423348,1.01787525
-0.133125,1.00269415,1.90587171,1.01966174
-0.131875,1.0047445,1.91569847,1.01584651
-0.130625,1.00899555,1.92215413,1.00926073
-0.129375,1.01302967,1.92570544,1.00440546
-0.128125,1.01440223,1.92779569,1.00436591
-0.126875,1.01248598,1.92865949,1.00910057
-0.125625,1.00928185,1.92718931,1.01546678
-0.124375,1.00796279,1.9239014,1.01868092
-0.123125,1.00987462,1.92338942,1.01496607
-0.121875,1.01262117,1.93186008,1.004217
-0.120625,1.01181384,1.95099473,0.990446246
-0.119375,1.00554688,1.97514576,0.978881432
-0.118125,0.996722106,1.99565766,0.972354394
-0.116875,0.99028534,2.00754516,0.97070082
-0.115625,0.988768568,2.01180822,0.972788624
-0.114375,0.991296027,2.01247936,0.977717976
