n,A225114,connected_A006958
261,575675187516118010763028238549694166086360582204149607128986937565145713250861476206134701249017908614055926600936513486662112649,21570938903441775627504538237454517935721980286157076563918996014364352423945250906030607729795
262,1801255003529623359119419370314093673772291045775496472043370877343504136146328809087344143994046255845940147078449056316029399839,49810287516311586282357435804980322127585169279753031394303218338083637453476963652652928178715
263,5636024720363098770547644783762400306261065880767568746480021013746116253698472756462780973617232866857972732904555991257894349292,115018857248803238476294292634976427658834833707220094858690278222766170469678295037307684896915
264,17634801616817018119696465690088268477048468498899237112156699255176448705262137190306157831955485577343304783447755629341085466462,265594482233982487326718989791544545211742934529643628393515715348874747369579896785296406260401
265,55178293831978960113646963545058772509268196882091721463834609752679076154608819848874717652328950631068740667552540031376052025120,613294469102119394559484108898410822085423826338595561991771309986258083032149366603288612610285
266,172649751120803840583134068539519990059033994886620056724857219472126508553502092609463537375860559684341117182886739539663812441305,1416181927679840542721336367917485363113551048132031377635671760208896936624225075016618870186326
267,540211276790151712415264824304989774824534157253922376685318704603276643413165524382709338492511918217174093121703395641648957818723,3270160344382695410659319317842712439705465768928006406650135759210636990828626559013088371232641
268,1690290438745274121581735716291426932571930573591469632671038667567902380860332205256227595564095321108605214158796787408259683328111,7551253457593023497783875319394479535865432912582910954962626094618878294357962344409198844712242
269,5288822892202492312317996282115384843300368126067589536964819114285142870589109991193251342921777622326089398118096028621130528903207,17436890786948388927214084726086619093922826676905755511941557609293751192112156776269996838415379
270,16548426793355628848292693195103317928398980915446387193585376253633075110309134268852791296053821561366756935123313026342088633105272,40264197463831466102834172300600811534893466864068152543614887683627370677792470462141640207212046
271,51779088639704366448211046427369873405293329053842438298652711966038260907251881245186389753296096716857389033845169644733533466749529,92975612293213065139540450412423446700455536143407143819512258120194191449157807672735682072996818
272,162013830912001967590254697937823797505579761876511925945791309009779422887341504293065857905045977524172844845181017658006008360023832,214693574584791470669120110225655734970950835948568923024187594791620370472192401848419752796242198
273,506932085835426369498668859628474183958113591860260251946952908050723671623476726993996466878391978446860833165369790715291137899233444,495757218813821030980316488832607119538577085779518260934888616725477052877216297919009563732366205
274,1586161738185397272963411191832041312016409503374856471351767050756599136286219098583256851059210258991271773890810644735149828460876955,1144772126885184973153820652289394368147826272579087878571624160723533453667906304582038585699266965
275,4963010095399842879658028820549676205817014545968870232957482021524621775266781262800380212250764142380361370508245314631801500947670175,2643437498759614657697385522730897105484552460528056466754525453460130938349894408159166248825486007
276,15528977035607782090605497105626934914210346159000214575147586897768986961271121767212069651114285711073660716599709869594717544806185935,6104063547442858001226350061868234300519257670288486390280666736376231192761955007082764527701894788
277,48589288181370458923676744246237604416847695141800962342457628585241464733477990281780832007022780446003804854751128129058912566763225568,14095128713542150713572234364622385038459212579104959383323960158511236959407476582153466492602418004
278,152033126236113591384390085190584809406698568093691913127360923615343664767248302133458448500346318316742973270935848261154846650629844209,32547605690400987718916099827691648410999583441545969079065904956435097792973546605477747598189747206
279,475703027112633848338340964687356371996246587818854778732849223420890040863599066414030549756039871223223761703035858991743603627526856986,75156932420208142577624455520797263255260194488667855148330578904135926008102014550879632621789902306
280,1488447785074684987303208982618103593471562855225531578254139883744661635975651946599346156324581115277062068592756574913191430848819346753,173547773207834485289260512841567492854292970576179244447140547536446813202982951187309353667022194890
281,4657268679455280276661631112922277333597398626059538067741648913507954380706480179357059618246443536117670556527476165748936798174794786875,400745860900778644576827173047768648106433521123596978877153646194583466532990844695549756633187182800
282,14572329489910051459145077523454921731538598123916222978483223998798984035527988136774378044871956004937316253410358083819695669434546682434,925377733523442107479909788228165416717307955317542131699830638170199641315785962134332792941853297919
