base_q,length_k,T_q_k
13,67,151471258627526690328
13,68,295442330160343504306
13,69,575884286131267255912
13,70,1123253331006045749629
13,71,2189476179499113974868
13,72,4270539194761299743269
13,73,8324252061048743073604
13,74,16236324040366862238219
13,75,31648287917272476658460
13,76,61729492872952159509170
13,77,120324819822718731402840
13,78,234691687908858143432007
13,79,457467472344557648116668
13,80,892283183423244806563202
13,81,1739262844314748633786136
13,82,3392405103349364754458506
13,83,6612569036138464482689480
13,84,12897712970882132993348763
13,85,25140575738974674042637132
13,86,49036301633246538036964671
13,87,95582903577087455977310156
13,88,186432965563821457633079557
13,89,363400247946936006623077604
13,90,708806526877473601867492846
13,91,1381625115722150380977660968
13,92,2694838281681540572468088821
13,93,5252852663837560765961711412
13,94,10245607354432903784563278802
13,95,19971018762381372074406269560
13,96,38953161225631073690462158042
13,97,75928569852998806464223553928
13,98,148097493589127646856625824813
13,99,288675694944515361569609083540
13,100,563057449446088822821853512717
14,1,13
14,2,25
14,3,48
14,4,93
14,5,180
14,6,350
14,7,680
14,8,1325
14,9,2580
14,10,5034
14,11,9816
14,12,19170
14,13,37416
14,14,73116
14,15,142801
14,16,279169
14,17,545485
14,18,1066694
14,19,2084939
14,20,4077842
14,21,7972258
14,22,15594460
14,23,30492343
14,24,59650318
14,25,116649610
14,26,228205180
14,27,446305770
14,28,873145260
14,29,1707734700
14,30,3341032199
14,31,6534835601
14,32,12784908425
14,33,25007303496
14,34,48924937521
14,35,95699847096
14,36,187229278194
14,37,366238398960
14,38,716514076509
14,39,1401593539024
14,40,2742084750502
14,41,5363941732528
14,42,10493989434770
14,43,20528089463888
14,44,40160849046068
14,45,78562389912865
14,46,153697538380285
14,47,300664356776485
14,48,588209699823070
14,49,1150667712149095
14,50,2251118389599814
14,51,4403706536501286
14,52,8615195219391180
14,53,16853383456572951
14,54,32971018909825826
14,55,64499449673666966
14,56,126182738721103244
14,57,246845386720998810
14,58,482911756661526324
14,59,944700338711188884
14,60,1848143948089052487
14,61,3615456541950027573
14,62,7073004795849873705
14,63,13836690268124937808
14,64,27069000524775757093
14,65,52954306021493283820
14,66,103595424576369586790
14,67,202661066395011426200
14,68,396468782748204051005
14,69,775602757446796256140
14,70,1517321024157205356754
14,71,2968303762166263275496
14,72,5806922083047527245810
14,73,11359973498284017977656
14,74,22223607553444393822156
14,75,43475668898230445818161
14,76,85051729809181051228569
14,77,166385396971294588470285
14,78,325500581360512682103014
14,79,636772242390825406198019
14,80,1245719917710494276398922
14,81,2436985942434501115191018
14,82,4767482055304474211482140
14,83,9326569043689828853924103
14,84,18245582869054934360002518
14,85,35693635324792279875308850
14,86,69827489850686158041425820
14,87,136602813201121232407283290
14,88,267236103531649806533550940
14,89,522791471570808059381262460
14,90,1022736702629522743969832519
14,91,2000770779919140876906607481
14,92,3914105805810418725217875065
14,93,7657132640613267283784745736
14,94,14979636979935174160875128761
14,95,29304545993899994363238647056
14,96,57328426630802643835324652794
14,97,112151172540303619487497281760
14,98,219401080843269906801174042829
14,99,429212769628332156292319879304
14,100,839667816920934456847778851182
15,1,14
15,2,27
15,3,52
15,4,101
15,5,196
15,6,382
15,7,744
15,8,1453
15,9,2836
15,10,5546
15,11,10840
15,12,21218
15,13,41512
15,14,81308
15,15,159184
15,16,311934
15,17,611000
15,18,1197708
15,19,2346832
15,20,4601476
15,21,9018576
15,22,17685976
15,23,34669600
15,24,67997748
15,25,133312592
15,26,261490664
15,27,512712288
15,28,1005743016
15,29,1972122912
15,30,3868722864
15,31,7586399808
15,32,14882777720
15,33,29185511648
15,34,57256671408
15,35,112284639040
15,36,220285896656
15,37,432005030464
15,38,847540742880
15,39,1662142849664
15,40,3260949197008
15,41,6395225389376
15,42,12546839722144
15,43,24606457331072
15,44,48275813929760
15,45,94677426394752
15,46,185749822661568
15,47,364289585067264
15,48,714709839857632
15,49,1401681019161472
15,50,2750001609061568
15,51,5393282359600384
15,52,10581261610065472
15,53,20751917001860352
15,54,40713918491691392
15,55,79848005959324160
15,56,156656721797491520
15,57,307234863352669440
15,58,602775587089028736
15,59,1182162894945437184
15,60,2319330433409330816
15,61,4548670153855574528
15,62,8924211437270553344
15,63,17502165133659915264
15,64,34338178779807287168
15,65,67344054584589487616
15,66,132124937253418466048
15,67,259123530675315913728
15,68,508384644560712176896
15,69,997044455541585052672
15,70,1956140849019703582208
15,71,3836385573912474118144
15,72,7526756539438466002176
15,73,14761483862103967536128
15,74,28961139773578214271488
15,75,56798623645896986941440
15,76,111435471695050227089920
15,77,218547392196612960593920
15,78,428776801021813580160000
15,79,840917635300802478264320
15,80,1649829697571878595821056
15,81,3235648249084304470226944
15,82,6348146827712404368264192
15,83,12449994314512399592148992
15,84,24426138543220579858072576
15,85,47904576914832721063694336
15,86,93985893350622981872113664
15,87,184325265743161043233677312
15,88,361635065788826970516042752
15,89,709239200182663709129461760
15,90,1391484582334260595678701568
15,91,2728981528606387546196959232
15,92,5354097359421071905346430976
15,93,10500463323258737436597886976
15,94,20601276494603348893709873152
15,95,40403252685378445828447944704
15,96,79268747954175868632577505280
15,97,155461981075189691216518242304
15,98,305007042327408600480608071680
15,99,598180245008875637056359317504
15,100,1173593608730562869681979576320
16,1,15
16,2,29
16,3,56
16,4,109
16,5,212
16,6,414
16,7,808
16,8,1581
