n,A289587,no_upper_bonds,no_upper_bonds_no_fixed_points,indecomposable_nontrivial_core
104,583198543765552520861099484988980038301634746223048149,855100917204174169912243304101513425486420434987468446,332450850872107557332549185823010508393510943623353091,190199215459959055247144932455492408699398547740762265
105,2038997630809194592390508652225396139499978145748748073,2989594026450199722809696957703323422977669748551003420,1162346162352992304072299293028651203095323930652148619,664901701744215114665098371646021016787021887246706181
106,7129767302016659927997096158796909806023496066959271932,10453591126715744583532041233442865984308526413658926454,4064449401004879987693721323692781789058939276177314608,2324692324705984608144598586057302406190647861304297239
107,24933959280264840150504172659502566019117680218397066162,36557472133466831918361863797456491246046100058470598902,14214286665728535971487210575035463833964110753057984843,8128898802009759975387442647385563578117878552354629215
108,87209406876636608023220138306843072898554768414404577701,127862473054227296277853652972618378918905157655540002288,49716949861385112167439615911273725625488468074712016301,28428573331457071942974421150070927667928221506115969687
109,305063737634601042842946437732989590067119192504791067625,447265401755984360950644473121388273897604583290606182138,173915751016607068307882620649420411323313823570591074768,99433899722770224334879231822547451250976936149424032601
110,1067264359461121534626847375183856118574611925330550646457,1564738494864563937437588512415717912674230746969859508218,608453496415674900410911635558438545013801549914338679341,347831502033214136615765241298840822646627647141182149537
111,3734277755649853494189348050085092842172385924294055920199,5474840990915995459001789972514400280095385850566629799908,2128966999042322829089983350698761595033891375368976220613,1216906992831349800821823271116877090027603099828677358681
112,13067528960941170315455420911525369463356605107988062667818,19158150625787818040465773057509975250650931842607964036978,7450108313851586191142903178056226030291574545935005797876,4257933998084645658179966701397523190067782750737952441227
113,45733205666552167620278228243243190496978981245646465529166,67048190418827453773394339068483937510036088160020045718402,26073986895562140695554266356185742724726469534075017061325,14900216627703172382285806356112452060583149091870011595751
114,160073793680939294234847791768212898924821338381442928810459,234677277726671370752000402754989644909237417093395832505816,91264651967773544680445935021309079729892239012622899191583,52147973791124281391108532712371485449452939068150034122651
115,560348709061739324285031942160289443293320495412042165400915,821494476436165337988875554305467188167848480018432915318838,319482586250309124313991842131424514354032000996593558467836,182529303935547089360891870042618159459784478025245798383165
116,1961756975516883519167852791173663308053697323994508062185165,2875987696459235929064893231589164929504052931871526959363270,1118511261979308840218454773663157950397994464939169921213799,638965172500618248627983684262849028708064001993187116935673
117,6868784574987004250710611624756254633615995732182005142701109,10069718660532565823337351628268063645459576787652062005918076,3916348068286974071450221040470873872331793928886861081745239,2237022523958617680436909547326315900795988929878339842427597
118,24052578274871207044502568924747976188774320971462598145594104,35261012200775443738204976162935703966479367389717542994590766,13714158032100747797652267040996978110907889765971910415550144,7832696136573948142900442080941747744663587857773722163490479
119,84234429388646101686938487239352269557760490713201088676120246,123486234129697431864084904803823774265948033272331127820388782,48028959032747968134390185360914909022066126870193653494644247,27428316064201495595304534081993956221815779531943820831100287
120,295027929021308069226767718369331700331434304281992123928780105,432501760481541105173986515636360762415566297656018138536641376,168221921208022584452603072457265472185717021957815415773676441,96057918065495936268780370721829818044132253740387306989288495
121,1033430709935353847340360192071970434231954498086453166859662497,1514962984309687130729772993738105610488851622634044064356592050,589259570946820980912283424411787333058708789359206616404619584,336443842416045168905206144914530944371434043915630831547352881
122,3620292020014418671567400909346613524767675733926228935015342353,5307136264531920327692234854370885186464083908899423703444729394,2064308561319139182933834002773655260173333165090505235317745113,1178519141893641961824566848823574666117417578718413232809239169
123,12683792710520864196697963670568377631068444889881835626491496651,18593528511656977593167185153247256305511244085383941357315712132,7232455694509349613649758573849972892582288877601465443340110953,4128617122638278365867668005547310520346666330181010470635490225
