k,W1,W2,W3,W4,W5,W6
213,26328072917139296674479506920917608079723773850137277813577744383,30432509242984338521443925377762828399328932020360714,6582713145077483419210150071859068323300713007,578752882147567485434885017502607241909360,1588857664416142278059807160669907993579,36391428044278231745167644844484833143
214,52656145834278593348959013841835216159447547700274555627155488767,50720849612660539641889139390406286370125571005771656,10441680357061481373400718928544329901450528995,867177257462028237721801656186856200586122,2276719253262680159074935773109612386064,50521562810347913629569525597470753480
215,105312291668557186697918027683670432318895095400549111254310977535,91297534596213057191474692078028984826483773340525432,16538263626131137860188477946149062228547207312,1295146198136893986366015980952056544248703,3262227354039980535414519907938002141712,70148031956618688574038871671108184464
216,210624583337114373395836055367340864637790190801098222508621955071,152162559949441775862154495885611994707204926701842661,26331852032077024337082847158474244731169147571,1940408222041919826290665823486226417576467,4674282889798514154834052571461372044687,97373976304588569948163843344700295672
217,421249166674228746791672110734681729275580381602196445017243910143,273892621767359370138703107000537443158342823026700008,41768242005208790027994816484266243019533554165,2896611858337588486662624047010225405355343,6697714743572306972808864715488754348283,135190490779451485018613796816332886123
218,842498333348457493583344221469363458551160763204392890034487820287,456487708938505683087229596137679608397334496795179607,66155367925419963780112917026962033991750196727,4340024286472744988287210267995680353910112,9596577381327458266282055238929043660941,187636939549484229415320403706311446012
219,1684996666696914987166688442938726917102321526408785780068975640575,821677912370978664482452534463540149336772312857180603,105330927787526021139497965237507791944269104632,6481743921868431753731709566162100158497917,13749340859046844943646707805877280316368,260476141056674828275441715598890832391
220,3369993333393829974333376885877453834204643052817571560137951281151,1369463202974597958828798110355810269329467050852271245,167078322857654587727155600199501794510028296701,9710779112405839861563178526354324498208271,19698307080290834566543278212999842606452,361489420215041216669832273668025455129
221,6739986666787659948666753771754907668409286105635143120275902562303,2465033860340917457083406287224587125823789590979965081,264629618586559114997498959325108855811980325765,14495756287369548443210605865327337417133218,28221044386927468418168437231263290865246,501747657444719605166866055528792107051
222,13479973333575319897333507543509815336818572211270286240551805124607,4108389808310856249689552336844168929939337365431969654,421336105868437362545700691263933568209816341470,21718572410500882463521495983357611270134937,40432367321554603133137045791903906104098,696253613111692430358710931237712345699
223,26959946667150639794667015087019630673637144422540572481103610249215,7395101903637796208094617848143001004864308134552694753,668332148814567330514124418672205713601077408739,32435529951269877950275375378425230721737079,57924797711341427596618182354152247429881,966331531309237620683457584019219338940
224,53919893334301279589334030174039261347274288845081144962207220498431,12325169946934674959116214002778484539161887670783864616,1058547164043751287023695317495750898393192289362,48592855012406024916439417498335372221342747,82980654192408198490793248300382988488095,1340780540805298563918040362568334612480
225,107839786668602559178668060348078522694548577690162289924414440996863,22185306555530538671186194116861290046586800332417279840,1685388072068305088987429906334542516175036542653,72535390948507827108018599221569304160610712,118869881940392052284154357728665922981445,1860661586560182398576385948891501809168
226,215679573337205118357336120696157045389097155380324579848828881993727,36975511207423281134298539573013718398823414515598745310,2673395002324147956291941711899617379282087019865,108675122875073408304357378523524070625514553,170280525231836874022820208306249072648355,2581420481006688563983647357949920529603
