n,vertices,cardinality,count
32,95,62,123690
32,95,63,95
33,98,0,1
33,98,1,98
33,98,2,4753
33,98,3,151998
33,98,4,3602970
33,98,5,67473588
33,98,6,1039085523
33,98,7,13524092624
33,98,8,151744971252
33,98,9,1489903424072
33,98,10,12950198831626
33,98,11,100569909777582
33,98,12,703011580332915
33,98,13,4450431350201844
33,98,14,25643078114712051
33,98,15,135046382087066142
33,98,16,652316267860745985
33,98,17,2898454824062753494
33,98,18,11876023349272201966
33,98,19,44963305465213265914
33,98,20,157565973051319836276
33,98,21,511782478661602205652
33,98,22,1542453944827811326654
33,98,23,4317418332413065902470
33,98,24,11230769701416070618449
33,98,25,27162683257074323365302
33,98,26,61100018553335431315100
33,98,27,127841873268065929628530
33,98,28,248805966925430735610216
33,98,29,450336168070688850710060
33,98,30,757839489421164369094827
33,98,31,1185235384925464515434302
33,98,32,1721831346662744831916395
33,98,33,2321975782460049309264972
33,98,34,2904558469818185695802049
33,98,35,3367319345584788317747968
33,98,36,3614498980863155594673695
33,98,37,3588387434544967072798724
33,98,38,3290887557713023856734391
33,98,39,2784246859041424259421246
33,98,40,2169901634742942667303709
33,98,41,1555241836822112835942784
33,98,42,1023274231784213636397219
33,98,43,616800849789027999792704
33,98,44,339842757514275729529193
33,98,45,170724173605934807128452
33,98,46,77976261863132998077629
33,98,47,32276381932210094932162
33,98,48,12063544861762710864198
33,98,49,4054296882408640232486
33,98,50,1219304111669027140855
33,98,51,326310665332139028828
33,98,52,77200851929028137611
33,98,53,16021752532623278868
33,98,54,2889712061740514465
33,98,55,447869374095512222
33,98,56,58823326873150329
33,98,57,6433315578116952
33,98,58,572780495252847
33,98,59,40285724089716
33,98,60,2147080951449
33,98,61,81598550460
33,98,62,2009507885
33,98,63,27092114
33,98,64,139944
33,98,65,98
34,101,0,1
34,101,1,101
34,101,2,5050
34,101,3,166549
34,101,4,4073027
34,101,5,78728995
34,101,6,1252012059
34,101,7,16836604454
34,101,8,195300813723
34,101,9,1983661291810
34,101,10,17848618977073
34,101,11,143594518529735
34,101,12,1040690058406117
34,101,13,6836335669868981
34,101,14,40912294613882426
34,101,15,224004720086811606
34,101,16,1126109009535888781
34,101,17,5213447024029926637
34,101,18,22283635097527276494
34,101,19,88121894004624674961
34,101,20,322989116850535061216
34,101,21,1098846021068484513634
34,101,22,3474195246796703752694
34,101,23,10217897609324593961392
34,101,24,27976221221570267036753
34,101,25,71348472534635325661369
34,101,26,169559291540892291341060
34,101,27,375581816783958999584255
34,101,28,775488463641717835972516
34,101,29,1492510185407794572664647
34,101,30,2677067307545432347261012
34,101,31,4473823978077683150716313
34,101,32,6963139825870978410127994
34,101,33,10088357758417011171770150
34,101,34,13597607424757290443365815
34,101,35,17038235564910145367090749
34,101,36,19831537399302213249342364
34,101,37,21422144039013567003948194
34,101,38,21453771972378011949082555
34,101,39,19897106281500556477926129
34,101,40,17067964947495322959968814
34,101,41,13523320751560210008669464
34,101,42,9881829403940797599169933
34,101,43,6648404572436341606369997
34,101,44,4110733357026350998936436
34,101,45,2331039014193267056155458
34,101,46,1209517248891729819691757
34,101,47,572784983608828189304851
34,101,48,246850285499101710764809
34,101,49,96498257982706477251083
34,101,50,34090700859998436777077
34,101,51,10837698618642696924010
34,101,52,3085290531419667334322
34,101,53,782066135313047721384
34,101,54,175342379121712313697
34,101,55,34498825536040659409
34,101,56,5900648094814529896
34,101,57,867366331087782680
34,101,58,108039195546271327
34,101,59,11202644225954203
34,101,60,945083403716334
34,101,61,62920905162131
34,101,62,3169349336501
34,101,63,113559817125
34,101,64,2626619736
34,101,65,33054573
34,101,66,157762
34,101,67,101
35,104,0,1
35,104,1,104
35,104,2,5356
35,104,3,182000
35,104,4,4587622
35,104,5,91437632
35,104,6,1500085912
35,104,7,20820724600
35,104,8,249410584345
35,104,9,2617602254592
35,104,10,24352445455780
35,104,11,202710203109232
35,104,12,1521174995302638
35,104,13,10354868626833440
35,104,14,64269669553276148
35,104,15,365286135026626320
35,104,16,1908092124504892040
35,104,17,9188261848432558736
35,104,18,40893971555478764892
35,104,19,168588270092601414744
35,104,20,644968564958152531148
35,104,21,2293318140341332309088
