m,u,v,g1,g2,g3,H_discriminant,G_discriminant_formula,G_degree,G_all_real,H_all_real
636,1558,667394,1907,1211930,256592062,-242212,-177479413992,3,False,False
637,1560,669569,1910,1215747,257805284,-244676,-180187283464,3,False,False
638,1563,671720,1913,1219569,259022352,-243911,-179976027219,3,False,False
639,1565,673815,1916,1223398,260243304,-246035,-182325323616,3,False,False
640,1568,675678,1919,1227232,261468322,-244088,-180806531300,3,False,False
641,1570,677891,1922,1231073,262696830,-246664,-183664286452,3,False,False
642,1573,680092,1925,1234919,263929196,-246039,-183611315243,3,False,False
643,1575,682275,1928,1238772,265165432,-248475,-186333977024,3,False,False
644,1577,684421,1931,1242631,266405563,-250755,-188900425964,3,False,False
645,1580,686449,1934,1246495,267649676,-249396,-188020950328,3,False,False
646,1582,688466,1937,1250366,268897670,-251140,-189991318040,3,False,False
647,1585,690692,1940,1254242,270149331,-250543,-189973689859,3,False,False
648,1587,692904,1943,1258125,271404888,-253047,-192820530027,3,False,False
649,1590,695089,1946,1262013,272664360,-252256,-192583743984,3,False,False
650,1592,697214,1949,1265908,273927786,-254392,-195027433716,3,False,False
651,1595,699121,1952,1269808,275195330,-252459,-193483957612,3,False,False
652,1597,701370,1955,1273715,276466438,-255071,-196481271363,3,False,False
653,1600,703608,1958,1277627,277741469,-254432,-196421875463,3,False,False
654,1602,705827,1961,1281546,279020437,-256904,-199279322063,3,False,False
655,1604,708006,1964,1285471,280303369,-259208,-201961142351,3,False,False
656,1607,710047,1967,1289401,281590369,-257739,-200935231436,3,False,False
657,1609,712127,1970,1293338,282881266,-259627,-203140591020,3,False,False
658,1612,714390,1973,1297280,284175922,-259016,-203117677524,3,False,False
659,1614,716638,1976,1301229,285474541,-261556,-206103453239,3,False,False
660,1617,718858,1979,1305183,286777142,-260743,-205844496187,3,False,False
661,1619,721011,1982,1309144,288083770,-262883,-208375392332,3,False,False
662,1622,722963,1985,1313110,289394565,-260968,-206812963575,3,False,False
663,1624,725250,1988,1317083,290708997,-263624,-209963788327,3,False,False
664,1626,727524,1991,1321062,292027420,-266220,-213066442508,3,False,False
665,1629,729778,1994,1325046,293349847,-265471,-212884677299,3,False,False
666,1631,731990,1997,1329037,294676306,-267799,-215685186803,3,False,False
667,1634,734036,2000,1333033,296006927,-266188,-214466061631,3,False,False
668,1636,736188,2003,1337036,297341444,-268256,-216962086448,3,False,False
669,1639,738488,2006,1341044,298679821,-267631,-216933564099,3,False,False
670,1641,740771,2009,1345059,300022229,-270203,-220057846444,3,False,False
671,1644,743025,2012,1349079,301368686,-269364,-219770771272,3,False,False
672,1646,745206,2015,1353106,302719242,-271508,-222390514152,3,False,False
673,1649,747205,2018,1357138,304074012,-269619,-220820265312,3,False,False
674,1651,749529,2021,1361177,305432495,-272315,-224124842828,3,False,False
675,1653,751840,2024,1365222,306795035,-274951,-227379594403,3,False,False
676,1656,754129,2027,1369272,308161647,-274180,-227176958079,3,False,False
677,1658,756372,2030,1373329,309532361,-276524,-230089579663,3,False,False
678,1661,758406,2033,1377391,310907346,-274703,-228581791731,3,False,False
679,1663,760648,2036,1381460,312286191,-277023,-231473371291,3,False,False
680,1666,762985,2039,1385534,313669015,-276384,-231438909135,3,False,False
681,1668,765305,2042,1389615,315055936,-278996,-234715932824,3,False,False
682,1671,767593,2045,1393701,316446975,-278131,-234399317004,3,False,False
683,1673,769800,2048,1397794,317842187,-280271,-237099518179,3,False,False
684,1675,771847,2051,1401893,319241657,-281763,-238991232812,3,False,False
685,1678,774208,2054,1405997,320644917,-281148,-238991789575,3,False,False
686,1680,776555,2057,1410108,322052301,-283820,-242398419903,3,False,False
687,1683,778879,2060,1414224,323463824,-283027,-242173850368,3,False,False
688,1685,781154,2063,1418347,324879518,-285391,-245206496539,3,False,False
689,1688,783124,2066,1422475,326299645,-283152,-243126809855,3,False,False
690,1690,785508,2069,1426610,327723492,-285932,-246702064300,3,False,False
691,1693,787882,2072,1430750,329151489,-285279,-246661323355,3,False,False
692,1695,790237,2075,1434897,330583651,-287923,-250085600144,3,False,False
693,1697,792559,2078,1439050,332019998,-290427,-253350314092,3,False,False
694,1700,794791,2081,1443208,333460593,-289164,-252514443567,3,False,False
695,1702,796888,2084,1447373,334905487,-290748,-254587174887,3,False,False
696,1705,799286,2087,1451543,336354250,-290119,-254582503947,3,False,False
697,1707,801670,2090,1455720,337807203,-292831,-258150907443,3,False,False
698,1710,804029,2093,1459902,339264363,-292016,-257903317239,3,False,False
699,1712,806335,2096,1464091,340725764,-294396,-261053832124,3,False,False
700,1715,808347,2099,1468285,342191653,-292163,-258929017196,3,False,False
701,1717,810768,2102,1472486,343661333,-294983,-262671472331,3,False,False
702,1720,813178,2105,1476692,345135230,-294312,-262618778852,3,False,False
703,1722,815569,2108,1480905,346613358,-296992,-266199962352,3,False,False
704,1724,817925,2111,1485124,348095739,-299524,-269605648575,3,False,False
705,1727,820180,2114,1489348,349582445,-298191,-268662535459,3,False,False
706,1729,822329,2117,1493579,351073487,-299875,-270935622656,3,False,False
707,1732,824764,2120,1497815,352568479,-299232,-270925392807,3,False,False
708,1734,827184,2123,1502058,354067728,-301980,-274655172828,3,False,False
709,1737,829578,2126,1506306,355571251,-301143,-274383453851,3,False,False
710,1739,831914,2129,1510561,357079086,-303535,-277649189259,3,False,False
711,1742,833969,2132,1514821,358591462,-301312,-275485026560,3,False,False
712,1744,836428,2135,1519088,360107700,-304176,-279405275488,3,False,False
713,1746,838874,2138,1523361,361628223,-306980,-283270215855,3,False,False
714,1749,841301,2141,1527639,363153043,-306203,-283082753984,3,False,False
715,1751,843689,2144,1531924,364682186,-308755,-286622251660,3,False,False
716,1754,845965,2147,1536214,366215731,-307344,-285555370247,3,False,False
717,1756,848170,2150,1540511,367753643,-309144,-288060442847,3,False,False
718,1759,850642,2153,1544813,369295590,-308487,-288044315107,3,False,False
719,1761,853098,2156,1549122,370841861,-311271,-291940262803,3,False,False
720,1764,855526,2159,1553436,372392474,-310408,-291637667716,3,False,False
