n,relation_mask,points,bases,facets,faces,h
4,3735,53,22,176,864,"[1, 48, 105, 22, 0]"
4,3776,37,9,98,514,"[1, 32, 56, 9, 0]"
4,3777,42,14,125,632,"[1, 37, 73, 14, 0]"
4,3779,46,16,141,708,"[1, 41, 83, 16, 0]"
4,3784,42,14,125,632,"[1, 37, 73, 14, 0]"
4,3785,47,19,152,750,"[1, 42, 90, 19, 0]"
4,3800,46,16,141,708,"[1, 41, 83, 16, 0]"
4,3803,55,25,189,918,"[1, 50, 113, 25, 0]"
4,4032,41,10,110,576,"[1, 36, 63, 10, 0]"
4,4033,47,16,143,720,"[1, 42, 84, 16, 0]"
4,4039,55,20,175,872,"[1, 50, 104, 20, 0]"
4,4040,47,16,143,720,"[1, 42, 84, 16, 0]"
4,4041,53,22,176,864,"[1, 48, 105, 22, 0]"
4,4088,55,20,175,872,"[1, 50, 104, 20, 0]"
4,4095,70,35,256,1226,"[1, 65, 155, 35, 0]"
